case,setting_id,block_enabled,block_labels,chunk_size,cache_enabled,cache_requests,cache_hits,cache_hit_rate,num_cached_states,num_blocks,rel_error,contract_time_sec,total_time_sec,speedup_vs_exact,t_contract_ratio,mean_rank,peak_rank
Grid 3x3,b2_c1,True,2,1,True,141.0,62.0,0.4397163120567376,79.0,9.0,0.004077588633579595,0.5340037333359456,0.5341653666655475,84.26395945916174,0.9996980357509065,1.0,64.0
Grid 3x3,b2_c1,True,2,1,False,0.0,0.0,0.0,0.0,9.0,0.004077588633579595,0.6560668333319578,0.6565634333346679,68.7213138544918,0.9992128318914563,1.0,64.0
Grid 3x3,b2_c2,True,2,2,True,64.0,23.0,0.359375,41.0,4.0,0.0038159722074353262,0.5823147333309558,0.5824512999994719,58.170167426888746,0.9997675117270043,1.0,107.66666666666667
Grid 3x3,b2_c2,True,2,2,False,0.0,0.0,0.0,0.0,4.0,0.0038159722074353262,0.6093570333323441,0.609527933330052,60.48973520265356,0.9997048584752135,1.0,107.66666666666667
