case_family,size_or_difficulty_setting,case,topology,exact_total_time_sec,rel_error,contract_time_sec,total_time_sec,speedup_vs_exact,t_contract_ratio,mean_rank,peak_rank
grid_shape,2x3,Grid 2x3,grid2d,0.014905733330427514,2.663666683112313e-15,0.01805476666656129,0.018078500002350967,0.8245005574848101,0.9986827095949863,1.0,16.0
grid_shape,2x4,Grid 2x4,grid2d,0.7204032333380989,4.552918965806853e-15,0.12277580000227317,0.12283526666942635,5.864791544572003,0.9995359076896397,1.0,27.0
grid_shape,3x3,Grid 3x3,grid2d,47.24686450000687,0.005312411912868509,0.900381084444315,0.9007702933323647,52.45162373774443,0.999747449323256,1.0,124.64444444444445
